17:20:31.804 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - select sdt, sales_province, sales_province_code, city_real, channel, channel_code, customer_no, customer_name, update_by, create_date, sign_date, sign_amount, contract_begin, contract_end, attribute_code, attribute, first_category, first_category_code, second_category, second_category_code, third_category, third_category_code, work_no, sales_name, sales_supervisor_name, sales_supervisor_work_no, district_manager_name, district_manager_work_no, sdt_min, sdts, sale, sale_avg, profit from csx_b2b_data_center.fixation_report_add_customer
17:20:32.453 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 正在组装插入SQL(fixation_report_add_customer) ...
17:20:33.642 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交数据
17:20:34.986 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交数据
17:20:36.231 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交数据
17:20:36.719 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经对 fixation_report_add_customer 提交
17:20:36.727 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - insert into fixation_report_add_customer 0 rows is done. cost 4.261 seconds
17:20:36.728 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 已经全部同步完成
17:21:13.971 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitStart
17:21:15.884 [AWT-EventQueue-0] INFO  com.luoboduner.wesync.App - ==================AppInitEnd
17:21:21.191 [AWT-EventQueue-0] INFO  c.l.wesync.tools.DbUtilMySQL - init database connection success-->10.252.193.44/csx_b2b_data_center
17:21:21.843 [AWT-EventQueue-0] INFO  c.l.wesync.tools.DbUtilMySQL - init database connection success-->10.252.193.28/data_hub
17:21:21.844 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - from 10.252.193.44 connection establied.
17:21:21.844 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - to 10.252.193.28 connection establied.
17:21:22.121 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - succes
17:21:22.286 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 获取 fixation_report_add_customer 表的DDL表结构
17:21:22.288 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - truncate table for fixation_report_add_customer is begin...
17:21:22.465 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 获取数据表 fixation_report_add_customer 的列
17:21:22.656 [AWT-EventQueue-0] INFO  c.l.wesync.logic.sync.DataBaseSync - 正在读取源数据--》  csx_b2b_data_center.fixation_report_add_customer 
